prop_id,size_acres,size_square_feet,land_type_cd,land_soil_code,ag_use_cd,primary_use_cd
41209,1.0000,167270.40,"51        ","Dry Pasture #3                          ","AG   ",83
41209,53.9400,2349626.40,"4         ","Irrigated Agland #1                     ","AG   ",83
41210,27.6600,1204869.60,"4         ","Irrigated Agland #1                     ","AG   ",83
41211,4.3900,191228.40,"51        ","Dry Pasture #3                          ","AG   ",83
41212,.3600,15681.60,"51        ","Dry Pasture #1                          ",,11
41213,.7000,30492.00,"41        ","Irrigated Pasture #3                    ","AG   ",83
41213,4.3000,187308.00,"51        ","Dry Pasture #3                          ","AG   ",83
41214,2.4000,104544.00,"4         ","Irrigated Agland #1                     ","AG   ",83
41214,2.7500,119790.00,"51        ","Dry Pasture #3                          ","AG   ",83
41215,3.0800,134164.80,"4         ","Irrigated Agland #1                     ","AG   ",83
41215,2.0700,90169.20,"51        ","Dry Pasture #3                          ","AG   ",83
41216,4.3700,190357.20,"4         ","Irrigated Agland #1                     ","AG   ",83
41216,.7800,33976.80,"51        ","Dry Pasture #3                          ","AG   ",83
41217,5.1500,87120.00,"4         ","Irrigated Agland #1                     ","AG   ",83
41218,5.1500,224334.00,"51        ","Dry Pasture #3                          ","AG   ",83
41219,5.1500,224334.00,"51        ","Dry Pasture #3                          ","AG   ",83
41221,6.9300,301870.80,"4         ","Irrigated Agland #2                     ","AG   ",83
41221,110.0700,4794649.20,"4         ","Irrigated Agland #1                     ","AG   ",83
41221,5.8800,256132.80,"4         ","Irrigated Agland #3                     ","AG   ",83
41221,38.9500,1696662.00,"51        ","Dry Pasture #3                          ","AG   ",83
41221,1.0000,43560.00,"9         ","Rural Homesite                          ","AG   ",83
41222,1.5200,66211.20,"4         ","Irrigated Agland #1                     ","AG   ",83
41222,1.0000,.00,"9         ","Rural Homesite                          ",,83
41225,5.0000,217800.00,"51        ","Dry Pasture #2                          ","AG   ",83
41229,2.3400,162043.20,"41        ","Irrigated Pasture #2                    ","AG   ",83
41229,5.0000,217800.00,"41        ","Irrigated Pasture #1                    ","AG   ",83
41229,1.0000,.00,"9         ","Rural Homesite                          ",,83
41231,5.0800,221284.80,"9         ",None,,18
41232,5.1100,222591.60,"9         ",None,,18
41233,5.1400,223898.40,"9         ",None,,18
41234,5.1800,225640.80,"9         ",None,,18
41235,5.0800,221284.80,"9         ",None,,18
41236,5.1100,222591.60,"9         ",None,,18
41237,5.1400,223898.40,"9         ",None,,18
41238,5.1800,225640.80,"9         ",None,,18
41239,5.2100,226947.60,"9         ",None,,18
41240,5.2400,228254.40,"9         ",None,,18
41241,5.2800,229996.80,"9         ",None,,18
41242,5.3100,231303.60,"9         ",None,,18
41243,5.2200,227383.20,"9         ",None,,18
41244,5.2500,228690.00,"9         ",None,,18
41245,5.2900,230432.40,"9         ",None,,18
41246,5.3200,231739.20,"9         ",None,,18
41247,5.1300,223462.80,"9         ",None,,18
41248,5.1600,224769.60,"9         ",None,,18
41249,5.1900,226076.40,"9         ",None,,18
41250,5.2200,227383.20,"9         ",None,,18
41251,5.2500,228690.00,"9         ",None,,18
41252,5.2800,229996.80,"9         ",None,,18
41253,5.3400,232610.40,"9         ",None,,18
41254,4.9900,217364.40,"9         ",None,,18
41255,5.1200,223027.20,"9         ",None,,18
41256,5.1500,224334.00,"9         ",None,,18
41257,5.1800,225640.80,"9         ",None,,18
41258,5.2100,226947.60,"9         ",None,,18
41259,5.2400,228254.40,"9         ",None,,18
41260,5.2700,229561.20,"9         ",None,,18
41263,1.3300,57934.80,"9         ",None,,18
41264,1.0000,43560.00,"9         ",None,,18
41265,1.0000,43560.00,"9         ",None,,18
41266,2.0000,87120.00,"9         ",None,,18
41267,1.3000,56628.00,"9         ",None,,18
41268,1.0000,43560.00,"9         ",None,,18
41269,1.0000,43560.00,"9         ",None,,18
41270,2.0000,87120.00,"9         ",None,,18
41271,17.5100,762735.60,"4         ","Irrigated Agland #3                     ","AG   ",83
41272,14.6000,635976.00,"4         ","Irrigated Agland #3                     ","AG   ",83
41272,5.4000,235224.00,"51        ","Dry Pasture #3                          ","AG   ",83
41273,12.3400,537530.40,"4         ","Irrigated Agland #3                     ","AG   ",83
41273,.5000,21780.00,"51        ","Dry Pasture #3                          ","AG   ",83
41274,14.3500,625086.00,"4         ","Irrigated Agland #3                     ","AG   ",83
41274,6.0000,261360.00,"51        ","Dry Pasture #3                          ","AG   ",83
41275,11.2000,487872.00,"4         ","Irrigated Agland #3                     ","AG   ",83
41275,8.8700,386377.20,"51        ","Dry Pasture #3                          ","AG   ",83
41275,1.0000,43560.00,"9         ","Rural Homesite                          ","AG   ",83
41276,5.0100,218235.60,"9         ",None,,18
41277,5.0000,217800.00,"9         ",None,,18
41278,5.0000,217800.00,"9         ",None,,18
41279,1.5600,67953.60,"9         ",None,,18
41281,2.2900,99752.40,"9         ",None,,18
41282,5.0000,217800.00,"9         ",None,,18
41283,5.0500,219978.00,"9         ",None,,18
41284,5.0000,217800.00,"9         ",None,,18
41285,1.7500,76230.00,"9         ",None,,18
41286,2.4700,107593.20,"9         ",None,,18
41287,5.2100,226947.60,"9         ",None,,18
41288,3.5900,156380.40,"9         ",None,,18
41289,60.0000,2613600.00,"51        ","Dry Pasture #1                          ",,81
41290,5.0000,217800.00,"9         ",None,,18
41291,5.0000,217800.00,"9         ",None,,18
41292,6.7200,292723.20,"9         ",None,,18
41293,5.0000,217800.00,"9         ",None,,18
41294,5.0000,217800.00,"9         ",None,,18
41295,5.0000,217800.00,"9         ",None,,18
41296,5.0000,217800.00,"9         ",None,,18
41297,5.0000,217800.00,"9         ",None,,18
41298,5.2400,228254.40,"9         ",None,,18
41299,5.0000,217800.00,"9         ",None,,18
41300,5.0000,217800.00,"9         ",None,,18
41301,5.0000,217800.00,"9         ",None,,18
41302,5.0000,217800.00,"9         ",None,,18
41303,5.0000,217800.00,"9         ",None,,18
41304,5.0000,217800.00,"9         ",None,,18
41306,.3699,16117.00,"9         ",None,,11
41307,2.1700,94525.20,"9         ",None,,18
41308,3.7800,164656.80,"9         ",None,,18
41309,1.0000,43560.00,"91        ",None,,11
41311,5.0000,217800.00,"9         ",None,,18
41312,5.7000,248292.00,"9         ",None,,18
41313,5.0000,217800.00,"9         ",None,,18
41314,5.5800,243064.80,"9         ",None,,18
